# Auto, Control award run
Timestamp,SinceStart,X,Y,Theta,VelocityX,VelocityY,VelocityTheta,AccelX,AccelY,AccelTheta,NumRings,MagHome,FeedHome,LastTarget,Cycles,AvgCycle
43:23.5,54,113.9939876,9.030062206,1.570796327,-0.139824267,0.699121337,0,-3.251730091,16.25864211,-2.26E-08,0,true,false,-1,0,NaN
43:23.6,83,113.9780568,9.198410325,1.574259216,-0.026422017,6.388271991,0.27054169,90.26532674,100.6675478,26.08843809,0,true,false,-1,0,NaN
43:23.6,105,113.9880342,9.30971268,1.579020688,1.162003526,4.517927503,0.108213451,139.1658029,-106.3166465,-21.25659416,0,true,false,-1,0,NaN
43:23.6,129,114.0178432,9.505417816,1.588976494,1.067776638,9.03128984,0.494700591,-29.87448559,150.3235347,13.69273907,0,true,false,-1,0,NaN
43:23.6,148,114.0410779,9.69232208,1.598499439,1.47228255,10.05634896,0.577144137,52.65194974,46.29864706,16.03128725,0,true,false,-1,0,NaN
43:23.6,169,114.0765573,9.919019628,1.611052412,2.001976799,10.22566029,0.486975041,63.09695818,-114.9977133,-22.37085964,0,true,false,-1,0,NaN
43:23.7,187,114.1111548,10.10704167,1.621441079,1.825077806,11.69148859,0.680213313,-22.67433022,291.2467961,24.09402399,0,true,false,-1,0,NaN
43:23.7,210,114.1465555,10.4100982,1.63702408,2.103233072,13.17843473,0.625239482,102.9658751,0.376972637,-9.543557464,0,true,false,-1,0,NaN
43:23.7,228,114.1593547,10.67920587,1.651308497,0.880483387,15.89059827,0.865733407,38.11719712,211.5192263,16.23380692,0,true,false,-1,0,NaN
43:23.7,252,114.1751829,11.02147145,1.667324359,0.756298128,14.82632359,0.673352665,17.2070634,100.4838231,1.070788276,0,true,false,-1,0,NaN
43:23.7,269,114.1735172,11.30531286,1.681175915,-0.127756791,16.61093261,0.757494155,-7.030348446,-20.16993237,-13.52752735,0,true,false,-1,0,NaN
43:23.8,293,114.16599,11.70081516,1.695460332,-0.630256309,16.07364259,0.480953448,-56.28834771,-72.11869216,-20.3079535,0,true,false,-1,0,NaN
43:23.8,312,114.1498024,12.0109205,1.706281861,-0.744180563,17.75631206,0.625239482,22.75705255,302.9485422,11.75609895,0,true,false,-1,0,NaN
43:23.8,336,114.114556,12.43396986,1.717103389,-1.477331316,16.66048246,0.384762758,-1.551089244,-171.844406,-11.757424,0,true,false,-1,0,NaN
43:23.8,357,114.0645552,12.82165296,1.724894889,-2.213076547,17.90880661,0.288579713,32.6515664,-107.4069208,-16.03124475,0,true,false,-1,0,NaN
43:23.9,384,113.9906586,13.37604164,1.730954945,-3.063587695,20.38548999,0.247346083,-48.46532189,-21.84918508,3.397399748,0,true,false,-1,0,NaN
43:23.9,404,113.9251669,13.79483302,1.732253528,-3.543656143,21.04832426,0.043286154,-53.81424359,21.74710558,-4.328619559,0,true,false,-1,0,NaN
43:23.9,427,113.8376834,14.30142025,1.731820667,-3.922254971,22.32192652,-0.066593961,-20.98721942,52.43943159,-8.452309154,0,true,false,-1,0,NaN
43:23.9,445,113.7557966,14.70841487,1.730954945,-4.293882079,23.66781564,-0.108216676,57.46915135,237.7957182,-13.52725864,0,true,false,-1,0,NaN
43:23.9,463,113.6578707,15.12807081,1.728790639,-5.644444801,23.83152055,-0.162320176,-45.93540447,116.4285424,-9.468323164,0,true,false,-1,0,NaN
43:24.0,488,113.5265522,15.73732406,1.724029167,-5.563718245,26.17671697,-0.192381379,-53.98381297,313.6193952,-0.33357505,0,true,false,-1,0,NaN
43:24.0,515,113.4114413,16.20323311,1.720133417,-3.175536539,13.39017438,-0.135270845,166.8833968,-593.039014,1.383203096,0,true,false,-1,0,NaN
43:24.0,549,113.1563989,17.21695437,1.708013305,-6.263364626,25.28771365,-0.342679332,175.36172,-641.3919321,1.953988718,0,true,false,-1,0,NaN
43:24.1,581,112.9773092,17.9449808,1.701953249,-5.720967973,21.86457034,-0.166484904,-16.12012201,-114.8123842,2.965689919,0,true,false,-1,0,NaN
43:24.1,599,112.8544593,18.46855664,1.697624638,-5.940077602,28.4071494,-0.27054169,199.117794,-153.1314226,-6.763951833,0,true,false,-1,0,NaN
43:24.1,616,112.7547781,18.91044906,1.695893193,-6.076084551,26.50297412,-0.108216676,-50.16757926,120.2379827,-1.503267636,0,true,false,-1,0,NaN
43:24.1,642,112.5831046,19.61915976,1.691131721,-6.770280205,26.76459496,-0.192381379,-28.45663244,-83.85990764,-1.57154714,0,true,false,-1,0,NaN
43:24.1,667,112.4246458,20.27532362,1.687235971,-5.040041656,23.06953146,-0.157401809,210.7595744,-515.7310892,-0.255257696,0,true,false,-1,0,NaN
43:24.2,694,112.2279932,21.0695691,1.685504526,-7.263993798,28.2102817,-0.086572309,3.088781741,-191.584608,-3.564738377,0,true,false,-1,0,NaN
43:24.2,718,112.0489892,21.8085388,1.682474498,-7.610915024,32.41578833,-0.216433352,-28.57396885,304.7449619,-16.90922447,0,true,false,-1,0,NaN
43:24.2,746,111.8442802,22.66285069,1.682474498,-7.482492765,30.75578277,0,-28.07981944,40.0791854,0,0,true,false,-1,0,NaN
43:24.3,808,111.3887051,24.74437594,1.683773082,-6.811822093,33.37172254,-1.59E-14,49.46669993,-18.56713831,-1.932396959,0,false,false,-1,0,NaN
43:24.3,833,111.2388645,25.62594577,1.684205943,-6.241528411,42.99273358,2.47E-14,-43.03306149,1341.968706,-3.00599775,0,false,false,-1,0,NaN
43:24.3,860,111.0928619,26.64109312,1.680310193,-5.508143074,37.49871689,-0.173144617,-15.98232743,-15.78746569,-4.583226384,0,false,false,-1,0,NaN
43:24.4,885,110.9949314,27.57090444,1.672951554,-4.374837018,37.75612319,-0.340106657,-74.29041078,91.52745867,-7.428885422,0,false,false,-1,0,NaN
43:24.4,911,110.9121154,28.5626428,1.662995748,-2.937923686,36.19143693,-0.366266788,38.04682727,-300.3555071,2.561303954,0,false,false,-1,0,NaN
43:24.4,936,110.8580412,29.50245528,1.650442775,-1.536576678,38.290865,-0.490580314,104.4011257,116.3589357,1.923586283,0,false,false,-1,0,NaN
43:24.4,970,110.7762859,30.73835367,1.629665441,-2.18278482,35.80864656,-0.663715758,26.45654272,-64.55636529,-6.277505439,0,false,false,-1,0,NaN
43:24.5,1003,110.7379713,31.87431486,1.601096606,-1.264100449,33.64643005,-0.92343062,-12.59520063,-94.92308572,-7.053212585,0,false,false,-1,0,NaN
43:24.5,1066,110.6117133,33.50471053,1.528808797,-2.754468701,33.39787559,-1.692093901,-47.75092207,478.4543897,-34.66069324,3,false,false,3,0,NaN
43:24.6,1094,110.5053126,34.03464548,1.482925517,-4.606101869,15.80499783,-1.484101774,-115.1523711,-445.9066589,22.08494411,3,false,false,3,0,NaN
43:24.6,1124,110.350504,34.39736083,1.44180371,-4.76589166,10.92016971,-1.217419462,52.81589545,-156.7297094,20.53080585,3,false,false,3,0,NaN
43:24.6,1147,110.257191,34.61645773,1.41496632,-3.792828286,8.253034736,-1.032206402,46.75282428,-225.2083477,23.82031608,3,false,false,3,0,NaN
43:24.6,1164,110.1860219,34.722258,1.403279069,-4.212040346,5.642100313,-0.595173979,-6.047517594,-137.289155,21.79612144,3,false,false,3,0,NaN
43:24.7,1184,110.1171859,34.82255862,1.395054708,-3.752919038,5.09134566,-0.314803619,-62.85184295,15.41624336,19.47783116,3,false,false,3,0,NaN
43:24.7,1214,110.06056,34.89675772,1.398084736,-1.560660377,1.614525619,0.243483892,43.77775935,-115.015363,19.08255297,3,false,false,3,0,NaN
43:24.7,1238,110.0403187,34.875833,1.410204847,-1.025242009,-1.604851131,0.61322783,-30.30918941,-122.1645648,18.03700182,3,false,false,3,0,NaN
43:24.7,1268,110.0250115,34.78694547,1.431847904,-0.64172625,-3.878878001,0.832424518,-17.84841775,-124.3381817,15.06633537,3,false,false,3,0,NaN
43:24.8,1304,109.9895011,34.60664078,1.463446766,-1.169306516,-5.75333959,0.93407785,-20.38612729,-83.02031314,6.278478824,3,false,false,3,0,NaN
43:24.8,1345,109.9110432,34.33321743,1.498508518,-2.377286572,-7.099997581,0.729027223,-45.48080437,-42.29029318,-12.37203404,3,false,false,3,0,NaN
43:24.8,1375,109.8547321,34.15929395,1.511927213,-1.91571666,-5.255730914,0.40194423,-5.180322875,72.55240097,-6.073137494,3,false,false,3,0,NaN
43:24.9,1405,109.8244514,34.0978112,1.514957241,-0.907301357,-1.374425265,0.068346302,14.64919662,96.89053483,-4.687298343,3,false,false,3,0,NaN
43:24.9,1435,109.8300614,34.1125548,1.515390102,0.45258562,0.405020235,1.59E-14,35.56982835,-11.57591024,-1.932420269,3,false,false,3,0,NaN
43:24.9,1458,109.8424153,34.12091456,1.517554408,0.705222302,0.391896176,0.061837574,30.68367024,5.189249735,-5.88920142,3,false,false,3,0,NaN
43:25.0,1494,109.8586301,34.14113228,1.524913047,0.137050208,0.327665294,0.192383927,-34.81777462,-25.99306519,-1.335848585,3,false,false,3,0,NaN
43:25.0,1533,109.8485272,34.13256018,1.52621163,-0.272801734,-0.249499644,0,-1.457519294,-3.147821239,-3.528751771,3,false,false,3,0,NaN
