Timestamp,SinceStart,X,Y,Theta,VelocityX,VelocityY,VelocityTheta,StoneInRobot,StoneClamped,ArmIsHome,ArmIsDown,ArmIsOut
16:14:58.337,2147.0,9.0060124411,111.0,0.0,5.695899357470494E-9,7.024942540880276E-8,0.0,false,false,true,false,false
16:14:58.409,2219.0,9.0360746466,110.9955628709786,0.001750346754002911,0.17683691959308553,0.0,0.0,false,false,true,false,false
16:14:58.480,2290.0,9.186378135384102,111.00078868703119,0.007001387016011645,1.669858296273858,0.15206713685137044,0.07293108770192479,false,false,true,false,false
16:14:58.555,2365.0,9.543895490786257,111.02471994201444,0.01794105422852984,4.1776200287291045,0.2641106144679442,0.13874656633557386,false,false,true,false,false
16:14:58.624,2434.0,10.126685791275332,111.05025475337632,0.03194382826055312,8.119806698916644,0.3586081411853449,0.23653372312797366,false,false,true,false,false
16:14:58.701,2511.0,11.126356508783994,111.02765465413165,0.055573509439592425,11.55974882778793,-0.11485130583538992,0.25333894967096987,false,false,true,false,false
16:14:58.850,2660.0,14.003479516937926,110.94132235418498,0.1413405003857351,18.179689018659893,-0.7378006664058376,0.5443150351620415,false,false,true,false,false
16:14:58.911,2721.0,15.478608101260372,110.96087111199199,0.18422399585880642,23.369951117405392,0.07817968057323627,0.7147256061666413,false,false,true,false,false
16:14:58.979,2789.0,17.31979007782439,111.01353057228582,0.23498405172489073,27.483044807602056,0.6759034260373455,0.775151661578409,false,false,true,false,false
16:14:59.047,2857.0,19.295022285406336,111.05954547498683,0.2835561741484716,28.807129401240264,0.6745708206351329,0.6251223077245264,false,false,true,false,false
16:14:59.117,2926.0,21.434004684075443,111.12087541202165,0.34044244365356613,31.2409103866494,0.6303270839804362,0.9220616849250316,false,false,true,false,false
16:14:59.179,2989.0,23.46355744358508,111.25280604437104,0.38726421932314403,33.652514358509244,1.3676280804100682,0.7617263753465191,false,false,true,false,false
16:14:59.257,3067.0,25.918526849122138,111.38049966486767,0.4494015290902472,33.099828425148274,2.0423626631408256,0.8187132482689256,false,false,true,false,false
16:14:59.376,3186.0,29.64064146194086,111.55615760888827,0.5596733745924306,31.76854800568015,1.487700555644525,0.9626878074145886,false,false,true,false,false
16:14:59.435,3245.0,31.459205678394135,111.67425780939676,0.6121837772125183,31.92025087910438,1.8232930062114052,0.8576748171161076,false,false,true,false,false
16:14:59.508,3318.0,33.622575909407395,111.80877695938398,0.6712579801601164,32.17339700355915,2.1063038801630367,0.8751762309081643,false,false,true,false,false
16:14:59.575,3385.0,35.58825530824102,111.9686732875125,0.7290194230422125,30.238483171385,1.9160216589389196,0.8619133735886217,false,false,true,false,false
16:14:59.641,3451.0,37.35179861578861,112.092223794614,0.7789043055312952,28.02340257282149,2.4026130558384864,0.8353929620935828,false,false,true,false,false
16:14:59.721,3531.0,39.22082946971672,112.06044286647828,0.8226629743813683,24.83844605278819,-0.18592745954679105,0.6429841965085131,false,false,true,false,false
16:14:59.835,3645.0,41.38458221746632,111.94973792841604,0.8699223367394466,21.22370133646566,-0.7857231162397176,0.46189586910741515,false,false,true,false,false
16:14:59.944,3754.0,42.83832378587529,111.90554007787291,0.8996782315574962,15.005931326014952,-0.4443512043883903,0.3248750408141735,false,false,true,false,false
16:15:00.011,3821.0,43.47032473375428,111.97069068785898,0.9184944591630275,9.765118978760418,0.8538426599131221,0.2917245264453849,false,false,true,false,false
16:15:00.077,3887.0,43.871999337187376,112.12248991354753,0.9303092997525473,6.492150119843109,2.0505083285646934,0.21879385975857404,false,false,true,false,false
16:15:00.154,3964.0,44.192434702498296,112.28166644555448,0.9399362068995633,4.847142947871005,2.4279833148550467,0.17017253797115275,true,false,true,false,false
16:15:00.197,4007.0,44.27442807515237,112.34838353414082,0.9434369004075689,1.450722883906395,2.4149140075461375,0.05834448376144534,true,false,true,false,false
16:15:00.247,4057.0,44.28759309347204,112.39081586637205,0.9425617270305675,0.8831638949641573,1.1185671491405844,0.023030813606467374,true,false,true,false,false
16:15:00.290,4100.0,44.273865071795754,112.38592928496116,0.9416865536535659,-0.11583872468635953,-0.07740379298151848,-0.019025506617926333,true,false,true,false,false
16:15:00.325,4135.0,44.24777647153541,112.36029894138657,0.9416865536535661,-0.9102825988420536,-0.6497709986591906,1.3061294942997287E-14,true,false,true,false,false
16:15:00.394,4204.0,44.10876250087433,112.29406956638299,0.9482503539810769,-1.6649515994686495,-0.9333442092615208,0.0504907273023518,true,false,true,false,false
16:15:00.435,4245.0,43.95919741181149,112.28644380562086,0.9565645010625909,-3.113722573364548,-0.5404164395939636,0.16409467564042185,true,false,true,false,false
16:15:00.479,4288.0,43.6920525035308,112.33771310451769,0.9701296884061134,-5.576250205759983,0.6626796731262369,0.2917262828337931,true,false,true,false,false
16:15:00.516,4325.0,43.345036551622854,112.41717695774393,0.9863203958806404,-9.445102998831697,2.398180169555838,0.43758771951713504,true,false,true,false,false
16:15:00.552,4362.0,42.904431413176574,112.54007161614815,1.006449383551674,-12.121253490299178,3.2131033787824053,0.583452565667617,true,false,true,false,false
16:15:00.587,4397.0,42.36465316285697,112.68989444178094,1.0270159579112081,-15.036562864777315,4.359484290819017,0.5907425928520041,true,false,true,false,false
16:15:00.615,4425.0,41.87269933580469,112.78844417737828,1.044519425451237,-18.81502260797908,4.349334788033641,0.6058887276281875,true,false,true,false,false
16:15:00.657,4467.0,41.04814554910452,112.93013409363172,1.0782136004657934,-20.276714656252242,3.584373510246659,0.8439064924641114,true,false,true,false,false
